date,sari_covid19_incidence
2020-W10,.30000001
2020-W11,1.2
2020-W12,3
2020-W13,6.5999999
2020-W14,6.3000002
2020-W15,5.0999999
2020-W16,3.5
2020-W17,2.7
2020-W18,1.3
2020-W19,1.3
2020-W20,.69999999
2020-W21,.60000002
2020-W22,.5
2020-W23,.40000001
2020-W24,.60000002
2020-W25,.5
2020-W26,.2
2020-W27,.30000001
2020-W28,.30000001
2020-W29,.5
2020-W30,.30000001
2020-W31,.69999999
2020-W32,.5
2020-W33,.40000001
2020-W34,.30000001
2020-W35,.5
2020-W36,.60000002
2020-W37,.5
2020-W38,.69999999
2020-W39,.89999998
2020-W40,1.1
2020-W41,1.4
2020-W42,2.7
2020-W43,5.9000001
2020-W44,9.6999998
2020-W45,11.2
2020-W46,14.1
2020-W47,14.5
2020-W48,15.2
2020-W49,16.700001
2020-W50,20.1
2020-W51,21
2020-W52,21.799999
2020-W53,21.5
2021-W01,18.700001
2021-W02,16.799999
2021-W03,14.7
2021-W04,12.6
2021-W05,10.7
2021-W06,9.3999996
2021-W07,7.8000002
2021-W08,7.6999998
2021-W09,7.9000001
2021-W10,8.6000004
2021-W11,9.1999998
2021-W12,11.6
2021-W13,12.7
2021-W14,13.7
2021-W15,13
2021-W16,13.9
2021-W17,12.4
2021-W18,8.3999996
2021-W19,7.1999998
2021-W20,5.0999999
2021-W21,2.5999999
2021-W22,2.0999999
2021-W23,.89999998
2021-W24,.60000002
2021-W25,.40000001
2021-W26,.30000001
2021-W27,.30000001
2021-W28,.30000001
2021-W29,.69999999
2021-W30,.5
2021-W31,1.1
2021-W32,1.7
2021-W33,1.9
2021-W34,3.4000001
2021-W35,3.5999999
2021-W36,3.2
2021-W37,3.2
2021-W38,3.3
2021-W39,3.2
2021-W40,3.3
2021-W41,3.9000001
2021-W42,6.5
2021-W43,9.1999998
2021-W44,11
2021-W45,12.1
2021-W46,14.3
2021-W47,15.7
2021-W48,15.8
2021-W49,14.1
2021-W50,10.8
2021-W51,6.3000002
2021-W52,5
2022-W01,7.8000002
2022-W02,6.4000001
2022-W03,5.9000001
2022-W04,7.1999998
2022-W05,8.5
2022-W06,9.6000004
2022-W07,8.5
2022-W08,8.8000002
2022-W09,9.8999996
2022-W10,10.7
2022-W11,10.6
2022-W12,10.6
2022-W13,9.5
2022-W14,8.1999998
2022-W15,6.4000001
2022-W16,5.4000001
2022-W17,4.5
2022-W18,4.3000002
2022-W19,3.2
2022-W20,2.0999999
2022-W21,2.3
2022-W22,2.2
2022-W23,3
2022-W24,3.8
2022-W25,5.5
2022-W26,5.6999998
2022-W27,5.9000001
2022-W28,6.9000001
2022-W29,8.6000004
2022-W30,6
2022-W31,5.9000001
2022-W32,4.3000002
2022-W33,4.6999998
2022-W34,4
2022-W35,3.0999999
2022-W36,4.1999998
2022-W37,4
2022-W38,6.3000002
2022-W39,9.3000002
2022-W40,10.7
2022-W41,11.2
2022-W42,10.3
2022-W43,8.1999998
2022-W44,5.6999998
2022-W45,5.3000002
2022-W46,5.5
2022-W47,6.5
2022-W48,7
2022-W49,8.1000004
2022-W50,9.1000004
2022-W51,9
2022-W52,8.6999998
2023-W01,6.5999999
2023-W02,3.3
2023-W03,2.3
2023-W04,1.6
